夺	奪
奇	渏
奈	柰
奉	唪
奋	奮
奎	喹
奏	楱
奔	渀
奖	奨
奥	奧
女	囡
奴	伮
奶	艿
奸	奷
她	咜
好	恏
如	洳
妆	妝
妈	媽
妖	岆
妙	仯
妥	鋖
妹	妺
妻	悽
姑	菇
姓	狌
委	逶
姚	烑
姜	葁
姥	粩
姨	侇
姻	絪
姿	恣
威	媙
娃	哇
娄	溇
娇	嬌
娜	哪
娟	涓
娥	皒
娱	娯
娶	婜
婆	嘙
婉	啘
婚	殙
婪	漤
婴	璎
婶	嬸
婿	胥
嫁	糘
嫂	溲
嫌	溓
嫩	嫰
子	ふ
孔	芤
孕	夃
字	牸
存	洊
孙	孫
孝	涍
孟	掹
季	悸
孤	箛
学	敩
孩	陔
孪	孿
孽	糵
宁	苧
它	咜
宇	荢
守	垨
安	鮟
宋	浨
完	唍
宏	宖
宗	崈
官	菅
定	萣
宝	寶
实	實
宠	寵
审	谉
客	愙
宣	媗
室	厔
宫	営
害	嗐
宴	匽
家	傢
容	嫆
宽	寬
宾	濱
宿	蹜
寅	夤
密	滵
寇	簆
富	冨
寝	寑
察	镲
寸	籿
对	怼
寺	峙
寻	浔
寿	壽
封	崶
将	將
尉	墛
尊	澊
小	尒
少	仯
尔	尒
尚	尙
尝	甞
就	僦
尸	迉
尹	吚
尺	呎
尼	胒
尽	浕
尾	屗
尿	杘
局	挶
屁	庇
层	層
居	劇
屉	屟
届	屆
屋	偓
屎	屍
屏	屛
展	蹍
属	屬
屠	廜
屡	屢
山	屾
岁	嵗
岂	豈
岗	罓
岛	島
岩	啱
岭	玪
岳	捳
峡	浹
峦	欒
峨	睋
峰	峯
峻	浚
崇	漴
崔	慛
崩	镚
巍	蘶
川	巛
州	詶
巡	廵
巢	漅
工	笁
左	咗
巨	姖
巫	莁
差	槎
已	巳
巴	妑
巾	凧
市	巿
布	鈽
帅	帥
帆	汎
师	溮
希	唏
帐	賬
帕	啪
帖	萜
帝	渧
带	帶
帮	幇
常	瑺
帽	萺
幅	諨
幌	縨
幕	募
干	迀
平	岼
年	姩
并	並
幸	圉
幻	抝
幼	孧
幽	豳
广	広
庄	圧
序	垿
庐	廬
库	厙
应	應
底	疧
店	扂
庙	庿
庚	菮
府	椨
庞	厐
废	廢
度	喥
座	蓙
庭	侹
康	嫝
庸	滽
廊	蓢
廓	霩
廖	漻
延	娫
廷	侹
建	踺
开	閞
异	異
弃	棄
弄	挵
式	鉽
弓	弖
引	吲
弘	宖
弛	肔
弟	弚
张	張
弦	妶
弯	塆
弱	弜
强	強
归	歸
当	當
录	淥
彤	浵
彩	埰
彪	滮
彭	憉
彻	沏
往	暀
征	姃
径	徑
很	佷
徊	佪
律	侓
徐	俆
徒	徙
得	嘚
徘	棑
循	揗
微	嶶
德	徳
徽	幑
心	杺
必	怭
忍	涊
志	梽
忘	莣
忙	杧
忠	筗
忧	沋
快	赽
念	淰
忽	唿
怀	懷
态	忲
怒	伮
怔	姃
怕	啪
怜	憐
思	偲
急	喼
性	悻
怨	葾
怯	愜
总	縂
恋	戀
恒	恆
恨	悢
恩	慁
恭	塨
恳	垦
恶	悪
恼	悩
悄	佾
悔	珻
悟	圄
悠	滺
患	漶
悦	哾
悲	蕜
情	凊
惊	驚
惜	厝
惨	參
惩	懲
惭	慙
惯	遦
惰	媠
惶	瑝
惺	瑆
愁	僽
愈	匬
愉	揄
意	嬑
感	憾
愤	濆
愧	隗
愿	蒝
慈	濨
慌	巟
慢	嫚
慰	墛
慷	嵻
憎	璔
懂	慬
懈	澥
懊	襖
懒	攋
懦	穤
戏	戱
成	荿
我	莪
戒	悈
或	戓
战	戰
戚	嘁
戳	戥
戴	瀻
户	戶
所	葰
扁	碥
扇	傓
手	掱
才	財
扎	紥
扑	圤
扒	朳
打	咑
托	仛
